Date,3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,30Y
12/31/2021,0.044,0.18,0.381,0.732,0.968,1.154,1.265,1.368,1.441,1.473,1.497,1.527,1.828,1.975,1.918
11/30/2021,0.049,0.098,0.26,0.549,0.842,1.039,1.158,1.285,1.377,1.406,1.429,1.45,1.746,1.893,1.801
10/29/2021,0.052,0.059,0.164,0.488,0.767,1.035,1.196,1.357,1.472,1.515,1.549,1.589,1.878,2.016,1.952
9/30/2021,0.035,0.048,0.098,0.285,0.536,0.818,0.988,1.184,1.325,1.413,1.481,1.544,1.899,2.074,2.133
8/31/2021,0.039,0.05,0.082,0.206,0.416,0.642,0.778,0.961,1.092,1.189,1.264,1.327,1.712,1.903,1.982
7/30/2021,0.045,0.049,0.076,0.187,0.356,0.57,0.698,0.881,1.012,1.115,1.195,1.273,1.682,1.882,1.967
6/30/2021,0.043,0.051,0.082,0.245,0.469,0.728,0.885,1.089,1.236,1.34,1.421,1.493,1.886,2.079,2.139
5/31/2021,0.013,0.029,0.044,0.139,0.311,0.613,0.793,1.066,1.262,1.409,1.523,1.618,2.056,2.274,2.343
4/30/2021,0.009,0.025,0.055,0.161,0.35,0.663,0.85,1.126,1.324,1.464,1.573,1.668,2.057,2.249,2.366
3/31/2021,0.017,0.033,0.062,0.157,0.361,0.719,0.935,1.22,1.425,1.567,1.677,1.77,2.18,2.382,2.476
2/26/2021,0.037,0.048,0.076,0.125,0.277,0.548,0.709,0.947,1.118,1.237,1.33,1.407,1.853,2.076,2.185
1/29/2021,0.052,0.068,0.081,0.113,0.186,0.34,0.432,0.63,0.774,0.913,1.021,1.116,1.512,1.71,1.919
12/31/2020,0.072,0.083,0.107,0.123,0.174,0.291,0.362,0.53,0.65,0.77,0.861,0.94,1.307,1.491,1.721
11/30/2020,0.075,0.091,0.111,0.148,0.196,0.303,0.367,0.518,0.626,0.724,0.801,0.865,1.231,1.415,1.652
10/30/2020,0.089,0.099,0.125,0.153,0.201,0.315,0.383,0.535,0.645,0.748,0.829,0.905,1.284,1.476,1.737
9/30/2020,0.095,0.103,0.119,0.128,0.16,0.232,0.276,0.391,0.473,0.567,0.64,0.705,1.081,1.271,1.531
8/31/2020,0.103,0.11,0.12,0.135,0.155,0.229,0.274,0.404,0.497,0.59,0.663,0.724,1.102,1.291,1.551
7/31/2020,0.091,0.097,0.11,0.11,0.124,0.181,0.215,0.32,0.396,0.46,0.511,0.562,0.86,1.011,1.254
6/30/2020,0.135,0.153,0.154,0.153,0.178,0.246,0.287,0.408,0.494,0.566,0.623,0.676,1.035,1.216,1.473
5/29/2020,0.14,0.157,0.165,0.16,0.193,0.26,0.3,0.416,0.499,0.565,0.616,0.66,1.032,1.218,1.479
4/30/2020,0.096,0.111,0.165,0.192,0.245,0.314,0.356,0.46,0.535,0.586,0.626,0.673,1.016,1.187,1.358
3/31/2020,0.101,0.142,0.162,0.237,0.286,0.339,0.371,0.472,0.544,0.607,0.656,0.704,1.057,1.234,1.411
2/28/2020,1.264,1.101,0.966,0.888,0.874,0.899,0.913,0.992,1.048,1.087,1.117,1.143,1.428,1.571,1.713
1/31/2020,1.541,1.519,1.427,1.317,1.296,1.307,1.314,1.377,1.421,1.46,1.49,1.526,1.789,1.921,2.052
12/31/2019,1.538,1.573,1.563,1.56,1.605,1.655,1.685,1.77,1.831,1.868,1.898,1.929,2.187,2.317,2.446
11/29/2019,1.576,1.603,1.587,1.603,1.601,1.612,1.619,1.68,1.724,1.745,1.761,1.777,2.015,2.135,2.254
10/31/2019,1.53,1.538,1.501,1.516,1.508,1.509,1.51,1.563,1.601,1.64,1.67,1.707,1.972,2.104,2.237
9/30/2019,1.811,1.8,1.731,1.616,1.552,1.543,1.539,1.584,1.616,1.639,1.656,1.678,1.92,2.041,2.162
8/30/2019,1.968,1.864,1.733,1.498,1.42,1.396,1.381,1.419,1.446,1.467,1.483,1.499,1.757,1.887,2.016
7/31/2019,2.056,2.06,1.969,1.864,1.818,1.818,1.818,1.87,1.907,1.956,1.993,2.036,2.321,2.463,2.605
6/28/2019,2.08,2.074,1.905,1.743,1.702,1.737,1.758,1.824,1.871,1.931,1.977,2.022,2.316,2.463,2.61
5/31/2019,2.335,2.326,2.179,1.916,1.872,1.895,1.909,1.975,2.022,2.07,2.108,2.14,2.386,2.509,2.632
4/30/2019,2.405,2.425,2.353,2.249,2.226,2.249,2.263,2.331,2.38,2.434,2.476,2.518,2.756,2.875,2.994
3/29/2019,2.383,2.405,2.374,2.25,2.192,2.206,2.215,2.264,2.299,2.341,2.374,2.406,2.636,2.751,2.866
2/28/2019,2.429,2.488,2.519,2.501,2.477,2.49,2.497,2.563,2.61,2.653,2.687,2.716,2.924,3.028,3.133
1/31/2019,2.384,2.44,2.529,2.439,2.418,2.419,2.419,2.469,2.505,2.558,2.6,2.64,2.847,2.95,3.054
12/31/2018,2.366,2.472,2.567,2.471,2.442,2.475,2.495,2.541,2.574,2.62,2.655,2.688,2.875,2.968,3.062
11/30/2018,2.342,2.508,2.677,2.781,2.802,2.81,2.816,2.865,2.9,2.94,2.971,2.997,3.169,3.255,3.341
10/31/2018,2.319,2.472,2.665,2.854,2.912,2.943,2.963,3.016,3.053,3.09,3.118,3.145,3.278,3.344,3.41
9/28/2018,2.194,2.349,2.57,2.793,2.861,2.901,2.925,2.968,2.998,3.015,3.028,3.04,3.121,3.161,3.201
8/31/2018,2.088,2.248,2.449,2.607,2.679,2.708,2.726,2.772,2.804,2.824,2.84,2.854,2.943,2.988,3.033
7/31/2018,2.004,2.168,2.416,2.65,2.752,2.801,2.831,2.877,2.91,2.926,2.939,2.951,3.016,3.048,3.081
6/29/2018,1.924,2.101,2.31,2.508,2.606,2.676,2.718,2.769,2.804,2.822,2.835,2.848,2.92,2.957,2.993
5/31/2018,1.902,2.067,2.219,2.408,2.538,2.623,2.675,2.742,2.79,2.813,2.832,2.847,2.939,2.985,3.031
4/30/2018,1.817,2.009,2.229,2.474,2.619,2.725,2.788,2.857,2.906,2.924,2.937,2.952,3.043,3.089,3.135
3/30/2018,1.717,1.911,2.079,2.252,2.377,2.487,2.553,2.627,2.68,2.704,2.722,2.74,2.87,2.934,2.999
2/28/2018,1.651,1.843,2.048,2.239,2.403,2.548,2.634,2.728,2.794,2.823,2.845,2.864,3.01,3.083,3.156
1/31/2018,1.454,1.643,1.877,2.133,2.282,2.424,2.509,2.589,2.647,2.671,2.69,2.71,2.834,2.896,2.958
12/29/2017,1.373,1.524,1.744,1.874,1.968,2.114,2.201,2.277,2.331,2.363,2.388,2.412,2.597,2.689,2.781
11/30/2017,1.256,1.433,1.625,1.778,1.893,2.044,2.135,2.237,2.31,2.354,2.389,2.418,2.652,2.769,2.885
10/31/2017,1.129,1.271,1.438,1.596,1.732,1.91,2.017,2.146,2.239,2.306,2.359,2.411,2.683,2.819,2.955
9/29/2017,1.048,1.186,1.305,1.479,1.627,1.82,1.936,2.076,2.177,2.251,2.308,2.36,2.65,2.796,2.941
8/31/2017,0.992,1.072,1.226,1.325,1.435,1.602,1.702,1.847,1.951,2.029,2.089,2.14,2.481,2.651,2.821
7/31/2017,1.079,1.135,1.219,1.348,1.517,1.719,1.839,2.006,2.126,2.209,2.275,2.339,2.672,2.838,3.005
6/30/2017,1.017,1.132,1.232,1.378,1.553,1.763,1.889,2.041,2.149,2.224,2.281,2.334,2.629,2.776,2.923
5/31/2017,0.971,1.064,1.154,1.28,1.442,1.637,1.754,1.914,2.028,2.112,2.176,2.23,2.604,2.791,2.978
4/28/2017,0.793,0.967,1.061,1.259,1.451,1.679,1.817,1.985,2.105,2.191,2.257,2.323,2.696,2.883,3.069
3/31/2017,0.756,0.899,1.019,1.253,1.502,1.767,1.926,2.1,2.225,2.303,2.364,2.421,2.77,2.945,3.119
2/28/2017,0.604,0.736,0.881,1.259,1.533,1.784,1.935,2.111,2.238,2.311,2.368,2.415,2.759,2.931,3.102
1/31/2017,0.514,0.628,0.821,1.204,1.479,1.755,1.92,2.124,2.269,2.36,2.43,2.497,2.832,3,3.168
12/30/2016,0.496,0.61,0.857,1.185,1.465,1.758,1.933,2.126,2.265,2.35,2.416,2.476,2.825,2.999,3.173
11/30/2016,0.477,0.605,0.811,1.113,1.409,1.683,1.849,2.06,2.211,2.292,2.355,2.407,2.778,2.964,3.149
10/31/2016,0.321,0.5,0.662,0.841,1.001,1.195,1.31,1.496,1.629,1.723,1.795,1.869,2.276,2.48,2.684
9/30/2016,0.29,0.432,0.6,0.761,0.883,1.05,1.15,1.314,1.431,1.507,1.566,1.623,2.017,2.214,2.41
8/31/2016,0.331,0.457,0.607,0.806,0.934,1.1,1.2,1.354,1.464,1.518,1.56,1.596,1.956,2.135,2.315
7/29/2016,0.26,0.372,0.498,0.66,0.758,0.895,1.033,1.17,1.308,1.369,1.431,1.489,1.685,1.894,2.352
6/30/2016,0.264,0.356,0.441,0.587,0.705,0.857,1.01,1.155,1.301,1.37,1.439,1.506,1.726,1.96,2.486
5/31/2016,0.299,0.458,0.681,0.884,1.047,1.217,1.388,1.54,1.694,1.758,1.824,1.888,2.108,2.344,2.89
4/29/2016,0.216,0.388,0.556,0.788,0.949,1.128,1.309,1.477,1.647,1.729,1.811,1.887,2.118,2.367,2.935
3/31/2016,0.204,0.382,0.586,0.727,0.867,1.042,1.219,1.39,1.563,1.649,1.735,1.818,2.047,2.295,2.863
2/29/2016,0.328,0.478,0.614,0.78,0.905,1.064,1.226,1.384,1.544,1.621,1.699,1.776,2.017,2.277,2.878
1/29/2016,0.317,0.433,0.473,0.778,0.981,1.161,1.343,1.521,1.7,1.797,1.894,1.981,2.205,2.449,3.005
12/31/2015,0.169,0.479,0.629,1.057,1.33,1.557,1.787,1.962,2.139,2.203,2.269,2.332,2.537,2.762,3.286
11/30/2015,0.193,0.395,0.508,0.95,1.258,1.471,1.687,1.868,2.051,2.128,2.207,2.285,2.494,2.723,3.263
